cityname,aqi,time
"Shankapark, Nepal",62,2025-08-04 22:00:00
"Birendra School, Bhaktapur, Nepal",28,2025-08-04 22:00:00
"Hetauda, Nepal",14,2025-08-04 22:00:00
"Dhangadhi, Nepal",9,2025-08-04 22:00:00
"Khumaltar, Nepal",8,2025-08-04 22:00:00
"Nepalgunj, Nepal",8,2025-08-04 22:00:00
"GBS, Pkr, Nepal",-,2025-07-09 16:00:00
"Bhaisipati, KTM, Nepal",-,2025-06-22 19:00:00
"Janakpur, Nepal",-,2025-04-14 19:46:00
"Dhankuta, Nepal",-,2025-03-15 02:00:00
"Dhulikhel, Kavre, Nepal",-,2025-03-12 09:00:00
"US Embassy, Kathmandu, Nepal",-,2025-03-04 17:00:00
"US Embassy, Phora Durbar, Kathmandu, Nepal",-,2025-03-04 16:00:00
"Bhimdatta (Mahendranagar), Nepal",-,2024-12-14 21:00:00
"TU Kritipur, Nepal",-,2024-08-14 19:00:00
"Ratnapark, Kathmandu, Nepal",-,2024-04-30 15:00:00
"Jhumka, Sunsari, Nepal",-,2022-05-25 07:00:00
"Biratnagar, Nepal",-,2022-05-25 07:00:00
"Shankha Park, KTM, Nepal",-,2022-02-13 18:00:00
"Gandaki Boarding School, PKR, Nepal",-,2022-02-13 18:00:00
"DHM Pokhara, Nepal",-,2022-02-13 18:00:00
"Shankapark, Nepal",62,2025-08-04 22:00:00
"Birendra School, Bhaktapur, Nepal",28,2025-08-04 22:00:00
"Hetauda, Nepal",14,2025-08-04 22:00:00
"Dhangadhi, Nepal",9,2025-08-04 22:00:00
"Khumaltar, Nepal",8,2025-08-04 22:00:00
"Nepalgunj, Nepal",8,2025-08-04 22:00:00
"GBS, Pkr, Nepal",-,2025-07-09 16:00:00
"Bhaisipati, KTM, Nepal",-,2025-06-22 19:00:00
"Janakpur, Nepal",-,2025-04-14 19:46:00
"Dhankuta, Nepal",-,2025-03-15 02:00:00
"Dhulikhel, Kavre, Nepal",-,2025-03-12 09:00:00
"US Embassy, Kathmandu, Nepal",-,2025-03-04 17:00:00
"US Embassy, Phora Durbar, Kathmandu, Nepal",-,2025-03-04 16:00:00
"Bhimdatta (Mahendranagar), Nepal",-,2024-12-14 21:00:00
"TU Kritipur, Nepal",-,2024-08-14 19:00:00
"Ratnapark, Kathmandu, Nepal",-,2024-04-30 15:00:00
"Jhumka, Sunsari, Nepal",-,2022-05-25 07:00:00
"Biratnagar, Nepal",-,2022-05-25 07:00:00
"Shankha Park, KTM, Nepal",-,2022-02-13 18:00:00
"Gandaki Boarding School, PKR, Nepal",-,2022-02-13 18:00:00
"DHM Pokhara, Nepal",-,2022-02-13 18:00:00
"Shankapark, Nepal",62,2025-08-04 22:00:00
"Birendra School, Bhaktapur, Nepal",28,2025-08-04 22:00:00
"Hetauda, Nepal",14,2025-08-04 22:00:00
"Dhangadhi, Nepal",9,2025-08-04 22:00:00
"Khumaltar, Nepal",8,2025-08-04 22:00:00
"Nepalgunj, Nepal",8,2025-08-04 22:00:00
"GBS, Pkr, Nepal",-,2025-07-09 16:00:00
"Bhaisipati, KTM, Nepal",-,2025-06-22 19:00:00
"Janakpur, Nepal",-,2025-04-14 19:46:00
"Dhankuta, Nepal",-,2025-03-15 02:00:00
"Dhulikhel, Kavre, Nepal",-,2025-03-12 09:00:00
"US Embassy, Kathmandu, Nepal",-,2025-03-04 17:00:00
"US Embassy, Phora Durbar, Kathmandu, Nepal",-,2025-03-04 16:00:00
"Bhimdatta (Mahendranagar), Nepal",-,2024-12-14 21:00:00
"TU Kritipur, Nepal",-,2024-08-14 19:00:00
"Ratnapark, Kathmandu, Nepal",-,2024-04-30 15:00:00
"Jhumka, Sunsari, Nepal",-,2022-05-25 07:00:00
"Biratnagar, Nepal",-,2022-05-25 07:00:00
"Shankha Park, KTM, Nepal",-,2022-02-13 18:00:00
"Gandaki Boarding School, PKR, Nepal",-,2022-02-13 18:00:00
"DHM Pokhara, Nepal",-,2022-02-13 18:00:00
"Shankapark, Nepal",62,2025-08-04 22:00:00
"Birendra School, Bhaktapur, Nepal",28,2025-08-04 22:00:00
"Hetauda, Nepal",14,2025-08-04 22:00:00
"Dhangadhi, Nepal",9,2025-08-04 22:00:00
"Khumaltar, Nepal",8,2025-08-04 22:00:00
"Nepalgunj, Nepal",8,2025-08-04 22:00:00
"GBS, Pkr, Nepal",-,2025-07-09 16:00:00
"Bhaisipati, KTM, Nepal",-,2025-06-22 19:00:00
"Janakpur, Nepal",-,2025-04-14 19:46:00
"Dhankuta, Nepal",-,2025-03-15 02:00:00
"Dhulikhel, Kavre, Nepal",-,2025-03-12 09:00:00
"US Embassy, Kathmandu, Nepal",-,2025-03-04 17:00:00
"US Embassy, Phora Durbar, Kathmandu, Nepal",-,2025-03-04 16:00:00
"Bhimdatta (Mahendranagar), Nepal",-,2024-12-14 21:00:00
"TU Kritipur, Nepal",-,2024-08-14 19:00:00
"Ratnapark, Kathmandu, Nepal",-,2024-04-30 15:00:00
"Jhumka, Sunsari, Nepal",-,2022-05-25 07:00:00
"Biratnagar, Nepal",-,2022-05-25 07:00:00
"Shankha Park, KTM, Nepal",-,2022-02-13 18:00:00
"Gandaki Boarding School, PKR, Nepal",-,2022-02-13 18:00:00
"DHM Pokhara, Nepal",-,2022-02-13 18:00:00
"Shankapark, Nepal",62,2025-08-04 22:00:00
"Birendra School, Bhaktapur, Nepal",28,2025-08-04 22:00:00
"Hetauda, Nepal",14,2025-08-04 22:00:00
"Dhangadhi, Nepal",9,2025-08-04 22:00:00
"Khumaltar, Nepal",8,2025-08-04 22:00:00
"Nepalgunj, Nepal",8,2025-08-04 22:00:00
"GBS, Pkr, Nepal",-,2025-07-09 16:00:00
"Bhaisipati, KTM, Nepal",-,2025-06-22 19:00:00
"Janakpur, Nepal",-,2025-04-14 19:46:00
"Dhankuta, Nepal",-,2025-03-15 02:00:00
"Dhulikhel, Kavre, Nepal",-,2025-03-12 09:00:00
"US Embassy, Kathmandu, Nepal",-,2025-03-04 17:00:00
"US Embassy, Phora Durbar, Kathmandu, Nepal",-,2025-03-04 16:00:00
"Bhimdatta (Mahendranagar), Nepal",-,2024-12-14 21:00:00
"TU Kritipur, Nepal",-,2024-08-14 19:00:00
"Ratnapark, Kathmandu, Nepal",-,2024-04-30 15:00:00
