date, pm25, pm10
2025/8/1, 39, 12
2025/8/2, 36, 10
2025/8/3, 27, 9
2025/8/4, 30, 12
2025/8/5, 38, 20
2025/8/6, 50, 16
2025/8/7, 46, 10
2025/8/8, 31, 13
2025/8/9, 40, 17
2025/8/10, 49, 18
2025/8/11, 52, 18
2025/8/12, 47, 9
2025/8/13, 30, 16
2025/8/14, 46, 17
2025/8/15, 44, 13
2025/8/16, 37, 14
2025/8/17, 38, 17
2025/8/18, 43, 14
2025/8/19, 41, 17
2025/8/20, 42, 12
2025/8/21, 35, 5
2025/8/22, 19, 
2025/7/1, 47, 14
2025/7/2, 37, 14
2025/7/3, 37, 12
2025/7/4, 31, 15
2025/7/5, 34, 14
2025/7/6, 32, 15
2025/7/7, 33, 14
2025/7/8, 33, 10
2025/7/9, 23, 11
2025/7/10, 30, 14
2025/7/11, 39, 19
2025/7/12, 46, 18
2025/7/13, 45, 16
2025/7/14, 39, 11
2025/7/15, 29, 19
2025/7/16, 33, 15
2025/7/17, 37, 20
2025/7/18, 52, 23
2025/7/19, 53, 21
2025/7/20, 54, 24
2025/7/21, 60, 18
2025/7/22, 45, 24
2025/7/23, 54, 23
2025/7/24, 52, 19
2025/7/25, 44, 14
2025/7/26, 34, 14
2025/7/27, 34, 9
2025/7/28, 30, 11
2025/7/29, 32, 16
2025/7/30, 42, 12
2025/7/31, 34, 15
2025/4/1, 219, 231
2025/4/2, 220, 264
2025/4/3, 240, 235
2025/4/4, 197, 243
2025/4/5, 203, 221
2025/4/6, 189, 207
2025/4/7, 203, 152
2025/4/8, 200, 119
2025/4/9, 180, 68
2025/4/10, 139, 66
2025/4/11, 130, 63
2025/4/12, 103, 63
2025/4/13, 118, 59
2025/4/14, 123, 65
2025/4/15, 131, 71
2025/4/16, 142, 62
2025/4/17, 126, 50
2025/4/18, 118, 
2025/4/21, 90, 
2025/4/23, 134, 133
2025/4/24, 150, 137
2025/4/25, 143, 132
2025/4/26, 142, 97
2025/4/27, 143, 52
2025/4/28, 110, 57
2025/4/29, 110, 56
2025/4/30, 111, 50
2025/5/1, 110, 54
2025/5/2, 110, 54
2025/5/3, 114, 42
2025/5/4, 91, 45
2025/5/5, 93, 46
2025/5/6, 104, 54
2025/5/7, 103, 58
2025/5/8, 104, 73
2025/5/9, 114, 68
2025/5/10, 103, 66
2025/5/11, 106, 63
2025/5/12, 96, 54
2025/5/13, 95, 69
2025/5/14, 114, 66
2025/5/15, 100, 55
2025/5/16, 101, 64
2025/5/17, 124, 58
2025/5/18, 124, 54
2025/5/19, 115, 28
2025/5/20, 70, 47
2025/5/21, 99, 50
2025/5/22, 89, 35
2025/5/23, 79, 39
