date, pm25, pm10
2024/7/18, 1, 
2024/7/31, 5, 
2024/4/1, 70, 41
2024/4/2, 107, 47
2024/4/3, 126, 45
2024/4/4, 115, 45
2024/4/5, 117, 44
2024/4/6, 113, 46
2024/4/7, 120, 47
2024/4/8, 116, 56
2024/4/9, 142, 58
2024/4/10, 137, 48
2024/4/11, 131, 43
2024/4/12, 120, 45
2024/4/13, 125, 38
2024/4/14, 106, 39
2024/4/15, 107, 41
2024/4/16, 112, 37
2024/4/17, 87, 38
2024/4/18, 100, 48
2024/4/19, 111, 63
2024/4/20, 90, 45
2024/4/21, 89, 45
2024/4/22, 96, 30
2024/4/23, 72, 42
2024/4/24, 89, 44
2024/4/25, 106, 52
2024/4/26, 125, 50
2024/4/27, 114, 44
2024/4/28, 89, 44
2024/4/29, 96, 46
2024/4/30, 100, 52
2024/5/1, 104, 49
2024/5/2, 102, 55
2024/5/3, 131, 54
2024/5/4, 125, 53
2024/5/5, 114, 51
2024/5/6, 109, 24
2024/5/7, 75, 22
2024/5/8, 71, 23
2024/5/9, 72, 18
2024/5/10, 62, 21
2024/5/11, 68, 18
2024/5/12, 63, 17
2024/5/13, 58, 19
2024/5/14, 64, 21
2024/5/15, 65, 20
2024/5/16, 59, 29
2024/5/17, 75, 35
2024/5/18, 95, 24
2024/5/19, 72, 25
2024/5/20, 79, 19
2024/5/21, 60, 13
2024/5/22, 48, 15
2024/5/23, 54, 16
2024/5/24, 56, 15
2024/5/25, 55, 15
2024/5/26, 56, 12
2024/5/27, 41, 10
2024/5/28, 40, 16
2024/5/29, 57, 18
2024/5/30, 54, 11
2024/5/31, 41, 17
2024/6/1, 50, 14
2024/6/2, 50, 10
2024/6/3, 41, 10
2024/6/4, 37, 7
2024/6/5, 29, 4
2024/6/6, 16, 3
2024/6/7, 15, 3
2024/6/8, 10, 1
2024/6/9, 1, 1
2024/6/10, 1, 2
2024/6/11, 5, 
2024/1/1, 125, 39
2024/1/2, 106, 43
2024/1/3, 119, 51
2024/1/4, 117, 43
2024/1/5, 119, 43
2024/1/6, 117, 50
2024/1/7, 133, 49
2024/1/8, 131, 52
2024/1/9, 137, 43
2024/1/10, 116, 38
2024/1/11, 107, 50
2024/1/12, 134, 49
2024/1/13, 132, 39
2024/1/14, 110, 36
2024/1/15, 102, 31
2024/1/16, 92, 32
2024/1/17, 95, 40
2024/1/18, 112, 43
2024/1/19, 124, 50
2024/1/20, 136, 45
2024/1/21, 124, 44
2024/1/22, 119, 43
2024/1/23, 118, 41
2024/1/24, 115, 45
2024/1/25, 124, 47
2024/1/26, 129, 46
2024/1/27, 119, 50
2024/1/28, 134, 50
2024/1/29, 132, 56
2024/1/30, 149, 57
2024/1/31, 152, 55
2024/2/1, 152, 35
2024/2/2, 103, 36
2024/2/3, 105, 50
2024/2/4, 141, 50
2024/2/5, 130, 37
2024/2/6, 109, 43
2024/2/7, 115, 46
2024/2/8, 125, 49
2024/2/9, 139, 50
2024/2/10, 134, 43
2024/2/11, 115, 45
2024/2/12, 118, 50
2024/2/13, 125, 64
2024/2/14, 151, 53
2024/2/15, 131, 51
2024/2/16, 128, 54
2024/2/17, 139, 52
2024/2/18, 132, 60
2024/2/19, 151, 57
2024/2/20, 135, 46
2024/2/21, 112, 37
2024/2/22, 95, 31
2024/2/23, 86, 39
2024/2/24, 107, 42
2024/2/25, 103, 45
2024/2/26, 112, 49
2024/2/27, 116, 48
2024/2/28, 121, 50
2024/2/29, 122, 50
2024/3/1, 133, 51
2024/3/2, 135, 32
2024/3/3, 97, 22
2024/3/4, 67, 28
2024/3/5, 70, 32
2024/3/6, 79, 42
2024/3/7, 107, 
2024/3/10, 124, 51
2024/3/11, 133, 46
2024/3/12, 120, 39
2024/3/13, 98, 39
2024/3/14, 96, 36
2024/3/15, 88, 40
2024/3/16, 96, 41
2024/3/17, 102, 50
2024/3/18, 128, 51
2024/3/19, 128, 46
2024/3/20, 131, 48
2024/3/21, 137, 33
2024/3/22, 96, 24
2024/3/23, 79, 38
2024/3/24, 112, 33
2024/3/25, 96, 32
2024/3/26, 96, 38
2024/3/27, 113, 26
2024/3/28, 83, 31
2024/3/29, 91, 26
2024/3/30, 81, 22
2024/3/31, 65, 26
2023/10/1, 68, 14
2023/10/2, 53, 11
2023/10/3, 41, 9
2023/10/4, 39, 7
2023/10/5, 26, 7
2023/10/6, 26, 11
2023/10/7, 41, 23
2023/10/8, 69, 37
2023/10/9, 103, 46
2023/10/10, 123, 37
2023/10/11, 99, 40
2023/10/12, 104, 41
2023/10/13, 103, 37
2023/10/14, 98, 35
2023/10/15, 93, 41
2023/10/16, 108, 26
2023/10/17, 74, 27
2023/10/18, 74, 30
2023/10/19, 80, 28
2023/10/20, 78, 23
2023/10/21, 69, 28
2023/10/22, 80, 25
2023/10/23, 72, 21
2023/10/24, 66, 20
2023/10/25, 62, 20
2023/10/26, 61, 22
2023/10/27, 67, 26
2023/10/28, 74, 33
2023/10/29, 85, 36
2023/10/30, 96, 32
2023/10/31, 85, 36
2023/11/1, 95, 31
2023/11/2, 85, 29
2023/11/3, 81, 32
