date, pm25, pm10
2024/4/1, 117, 93
2024/4/2, 148, 101
2024/4/3, 155, 101
2024/4/4, 152, 106
2024/4/5, 158, 101
2024/4/6, 156, 102
2024/4/7, 161, 112
2024/4/8, 164, 124
2024/4/9, 183, 122
2024/4/10, 180, 106
2024/4/11, 172, 89
2024/4/12, 161, 94
2024/4/13, 166, 89
2024/4/14, 152, 104
2024/4/15, 159, 102
2024/4/16, 161, 95
2024/4/17, 153, 99
2024/4/18, 158, 106
2024/4/19, 164, 120
2024/4/20, 150, 112
2024/4/21, 154, 111
2024/4/22, 157, 83
2024/4/23, 130, 92
2024/4/24, 153, 103
2024/4/25, 164, 120
2024/4/26, 176, 112
2024/4/27, 169, 98
2024/4/28, 146, 119
2024/4/29, 164, 113
2024/4/30, 162, 
2024/1/1, 171, 80
2024/1/2, 150, 84
2024/1/3, 153, 84
2024/1/4, 150, 81
2024/1/5, 149, 89
2024/1/6, 157, 91
2024/1/7, 162, 100
2024/1/8, 168, 97
2024/1/9, 166, 91
2024/1/10, 154, 79
2024/1/11, 154, 97
2024/1/12, 166, 106
2024/1/13, 176, 96
2024/1/14, 161, 107
2024/1/15, 164, 83
2024/1/16, 153, 77
2024/1/17, 145, 76
2024/1/18, 151, 80
2024/1/19, 160, 83
2024/1/20, 163, 85
2024/1/21, 159, 85
2024/1/22, 158, 87
2024/1/23, 160, 87
2024/1/24, 166, 91
2024/1/25, 160, 98
2024/1/26, 165, 95
2024/1/27, 158, 114
2024/1/28, 171, 107
2024/1/29, 172, 109
2024/1/30, 180, 112
2024/1/31, 179, 102
2024/2/1, 178, 84
2024/2/2, 154, 91
2024/2/3, 165, 99
2024/2/4, 176, 103
2024/2/5, 171, 88
2024/2/6, 154, 88
2024/2/7, 150, 87
2024/2/8, 153, 97
2024/2/9, 171, 128
2024/2/10, 179, 107
2024/2/11, 163, 101
2024/2/12, 159, 97
2024/2/13, 156, 139
2024/2/14, 175, 99
2024/2/15, 160, 100
2024/2/16, 165, 94
2024/2/17, 165, 100
2024/2/18, 166, 108
2024/2/19, 176, 111
2024/2/20, 167, 98
2024/2/21, 159, 83
2024/2/22, 141, 73
2024/2/23, 134, 76
2024/2/24, 143, 82
2024/2/25, 146, 93
2024/2/26, 153, 107
2024/2/27, 153, 95
2024/2/28, 153, 86
2024/2/29, 151, 93
2024/3/1, 165, 87
2024/3/2, 164, 57
2024/3/3, 128, 51
2024/3/4, 104, 62
2024/3/5, 112, 75
2024/3/6, 119, 84
2024/3/7, 136, 
2024/3/10, 162, 97
2024/3/11, 168, 91
2024/3/12, 156, 86
2024/3/13, 143, 92
2024/3/14, 143, 89
2024/3/15, 135, 94
2024/3/16, 140, 100
2024/3/17, 141, 115
2024/3/18, 164, 111
2024/3/19, 158, 94
2024/3/20, 173, 83
2024/3/21, 168, 67
2024/3/22, 142, 54
2024/3/23, 123, 72
2024/3/24, 155, 64
2024/3/25, 138, 66
2024/3/26, 144, 69
2024/3/27, 156, 56
2024/3/28, 136, 72
2024/3/29, 143, 60
2024/3/30, 123, 55
