date, pm25, pm10
2025/1/1, 172, 77
2025/1/2, 176, 74
2025/1/3, 177, 73
2025/1/4, 177, 86
2025/1/5, 187, 77
2025/1/6, 189, 64
2025/1/7, 158, 65
2025/1/8, 163, 64
2025/1/9, 168, 76
2025/1/10, 163, 81
2025/1/11, 157, 80
2025/1/12, 168, 81
2025/1/13, 167, 83
2025/1/14, 174, 75
2025/1/15, 161, 77
2025/1/16, 169, 83
2025/1/17, 168, 82
2025/1/18, 179, 89
2025/1/19, 175, 111
2025/1/20, 183, 91
2025/1/21, 172, 96
2025/1/22, 198, 94
2025/1/23, 186, 84
2025/1/24, 170, 72
2025/1/25, 154, 70
2025/1/26, 170, 80
2025/1/27, 176, 
2025/1/28, 167, 
2025/1/29, 157, 
2025/1/30, 162, 
2025/1/31, 183, 
2025/2/1, 180, 
2025/2/2, 174, 
2025/2/3, 192, 
2025/2/4, 170, 
2025/2/5, 161, 75
2025/2/6, 173, 77
2025/2/7, 169, 76
2025/2/8, 163, 83
2025/2/9, 175, 107
2025/2/10, 175, 91
2025/2/11, 165, 90
2025/2/12, 170, 87
2025/2/13, 168, 95
2025/2/14, 184, 90
2025/2/15, 184, 93
2025/2/16, 178, 88
2025/2/17, 166, 81
2025/2/18, 179, 
2025/2/19, 169, 
2025/2/20, 188, 
2025/2/21, 177, 
2025/2/22, 166, 
2025/2/23, 151, 
2025/2/24, 163, 
2025/2/25, 164, 
2025/2/26, 176, 
2025/2/27, 172, 
2025/2/28, 185, 
2025/3/1, 131, 
2025/3/2, 154, 
2025/3/3, 147, 
2025/3/4, 152, 
2024/10/1, 94, 
2024/10/2, 98, 
2024/10/3, 93, 
2024/10/4, 109, 
2024/10/5, 106, 
2024/10/6, 90, 
2024/10/7, 106, 
2024/10/8, 93, 
2024/10/9, 107, 
2024/10/10, 130, 
2024/10/11, 116, 
2024/10/12, 114, 
2024/10/13, 105, 
2024/10/14, 104, 
2024/10/15, 120, 
2024/10/16, 133, 
2024/10/17, 152, 
2024/10/18, 166, 
2024/10/19, 134, 
2024/10/20, 150, 
2024/10/21, 137, 
2024/10/22, 126, 
2024/10/23, 119, 
2024/10/24, 119, 
2024/10/25, 119, 
2024/10/26, 99, 
2024/10/27, 123, 
2024/11/5, 142, 
2024/11/6, 120, 
2024/11/7, 118, 
2024/11/8, 108, 
2024/11/9, 138, 
2024/11/10, 143, 
2024/11/11, 132, 
2024/11/12, 143, 
2024/11/13, 153, 
2024/11/14, 160, 
2024/11/15, 164, 
2024/11/16, 163, 
2024/11/17, 154, 
2024/11/18, 137, 
2024/11/19, 129, 
2024/11/20, 130, 
2024/11/21, 140, 
2024/11/22, 147, 
2024/11/23, 132, 
2024/11/24, 136, 
2024/11/25, 137, 
2024/11/26, 162, 
2024/11/27, 165, 
2024/11/28, 152, 
2024/11/29, 147, 
2024/11/30, 144, 
2024/12/1, 159, 
2024/12/2, 162, 
2024/12/3, 149, 
2024/12/4, 154, 
2024/12/5, 160, 
2024/12/6, 171, 
2024/12/7, 177, 
2024/12/8, 177, 
2024/12/9, 183, 
2024/12/10, 161, 
2024/12/11, 172, 
2024/12/12, 168, 
2024/12/13, 164, 
2024/12/14, 163, 
2024/12/15, 181, 
2024/12/16, 180, 
2024/12/17, 178, 86
2024/12/18, 170, 72
2024/12/19, 158, 82
2024/12/20, 166, 75
2024/12/21, 159, 75
2024/12/22, 172, 81
2024/12/23, 167, 85
2024/12/24, 169, 83
2024/12/25, 183, 78
2024/12/26, 176, 84
2024/12/27, 181, 99
2024/12/28, 219, 91
2024/12/29, 191, 
2024/7/5, 77, 
2024/7/6, 69, 
2024/7/8, 134, 
2024/7/9, 102, 
2024/7/10, 95, 
2024/7/11, 106, 
2024/7/12, 79, 
2024/7/13, 98, 
2024/7/14, 93, 
2024/7/15, 100, 
2024/7/16, 75, 
2024/7/17, 94, 
2024/7/18, 82, 
2024/7/19, 64, 
2024/7/20, 78, 
2024/7/21, 81, 
2024/7/22, 89, 
2024/7/23, 77, 
2024/7/24, 72, 
2024/7/25, 89, 
2024/7/26, 89, 
2024/7/27, 79, 
2024/7/28, 78, 
2024/7/29, 94, 
2024/7/30, 68, 
2024/8/4, 42, 
2024/8/5, 76, 
2024/8/6, 68, 
2024/8/7, 68, 
2024/8/8, 72, 
2024/8/9, 87, 
2024/8/10, 72, 
2024/8/11, 72, 
2024/8/12, 87, 
2024/8/13, 77, 
2024/8/14, 79, 
2024/8/15, 61, 
2024/8/16, 71, 
2024/8/17, 77, 
2024/8/18, 60, 
2024/8/19, 77, 
2024/8/20, 78, 
2024/8/21, 102, 
2024/8/22, 77, 
2024/8/23, 91, 
2024/8/24, 97, 
2024/8/25, 87, 
2024/8/26, 91, 
2024/8/27, 100, 
2024/8/28, 98, 
2024/8/29, 98, 
2024/8/30, 94, 
2024/8/31, 85, 
2024/9/1, 90, 
2024/9/2, 100, 
2024/9/3, 61, 
2024/9/4, 72, 
2024/9/5, 80, 
2024/9/6, 77, 
2024/9/7, 79, 
2024/9/8, 86, 
2024/9/9, 90, 
2024/9/10, 105, 
2024/9/11, 77, 
2024/9/12, 83, 
2024/9/13, 97, 
2024/9/14, 95, 
2024/9/15, 89, 
2024/9/16, 95, 
2024/9/17, 82, 
2024/9/18, 97, 
2024/9/19, 87, 
2024/9/20, 108, 
2024/9/21, 96, 
2024/9/22, 114, 
2024/9/23, 122, 
2024/9/24, 101, 
2024/9/25, 99, 
2024/9/26, 97, 
2024/9/27, 92, 
2024/9/28, 94, 
2024/9/29, 127, 
2024/9/30, 84, 
2024/4/1, 137, 93
2024/4/2, 167, 101
2024/4/3, 174, 101
2024/4/4, 175, 106
2024/4/5, 171, 101
2024/4/6, 173, 102
2024/4/7, 188, 112
2024/4/8, 173, 124
